Book,Total Paragraphs,Paragraphs (100-250 words)
001_A-Man-of-Means.txt,823,53
002_A-Prefect's-Uncle.txt,1203,94
003_A-Wodehouse-Miscellany:-Articles-&-Stories.txt,1023,68
"004_Death-at-the-Excelsior,-and-Other-Stories.txt",1326,71
005_Indiscretions-of-Archie.txt,2634,159
006_Jill-the-Reckless.txt,3745,253
007_Love-Among-the-ChickensA-Story-of-the-Haps-and-Mishaps-on-an-English-Chicken-Farm.txt,1817,89
008_Love-Among-the-Chickens.txt,1670,94
009_Mike-and-Psmith.txt,2110,77
010_My-Man-Jeeves.txt,1963,100
011_Not-George-Washington-—-an-Autobiographical-Novel.txt,1598,98
012_Piccadilly-Jim.txt,2769,165
013_Psmith-in-the-City.txt,1381,111
"014_Psmith,-Journalist.txt",1845,115
"015_Right-Ho,-Jeeves.txt",3229,102
016_Something-New.txt,2272,103
017_Tales-of-St.-Austin's.txt,1381,107
018_The-Adventures-of-Sally.txt,2406,186
019_The-Clicking-of-Cuthbert.txt,1922,161
020_The-Coming-of-Bill.txt,3053,84
021_The-Gem-Collector.txt,1227,60
022_The-Girl-on-the-Boat.txt,2520,145
023_The-Gold-Bat.txt,1443,85
024_The-Head-of-Kay's.txt,1126,114
025_The-Inimitable-Jeeves.txt,2708,131
026_The-Intrusion-of-Jimmy.txt,2584,112
027_The-Little-Nugget.txt,2573,112
028_The-Little-Warrior.txt,3735,265
029_The-Man-Upstairs-and-Other-Stories.txt,3441,195
"030_The-Man-with-Two-Left-Feet,-and-Other-Stories.txt",2205,144
"031_The-Politeness-of-Princes,-and-Other-School-Stories.txt",975,36
032_The-Pothunters.txt,1350,68
033_The-Prince-and-Betty.txt,2288,136
"034_The-Swoop!-or,-How-Clarence-Saved-England:-A-Tale-of-the-Great-Invasion.txt",659,33
035_The-White-Feather.txt,1550,100
036_Three-Men-and-a-Maid.txt,2038,119
037_Uneasy-Money.txt,2037,160
038_William-Tell-Told-Again.txt,571,25
