Book,Total Paragraphs,Paragraphs (100-250 words)
001_1601:-Conversation-as-it-was-by-the-Social-Fireside-in-the-Time-of-the-Tudors.txt,209,30
"002_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-1..txt",209,31
"003_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-2..txt",112,31
"004_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-3..txt",155,36
"005_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-4..txt",297,57
"006_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-5..txt",292,39
"007_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-6..txt",250,39
"008_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-7..txt",258,39
"009_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-8..txt",209,30
"010_A-Connecticut-Yankee-in-King-Arthur's-Court,-Part-9..txt",255,38
011_A-Connecticut-Yankee-in-King-Arthur's-Court.txt,2005,341
012_A-Dog's-Tale.txt,39,14
013_A-Double-Barrelled-Detective-Story.txt,464,54
"014_Adventures-of-Huckleberry-Finn,-Chapters-01-to-05.txt",143,24
"015_Adventures-of-Huckleberry-Finn,-Chapters-06-to-10.txt",175,44
"016_Adventures-of-Huckleberry-Finn,-Chapters-11-to-15.txt",282,28
"017_Adventures-of-Huckleberry-Finn,-Chapters-16-to-20.txt",335,48
"018_Adventures-of-Huckleberry-Finn,-Chapters-21-to-25.txt",221,37
"019_Adventures-of-Huckleberry-Finn,-Chapters-26-to-30.txt",385,38
"020_Adventures-of-Huckleberry-Finn,-Chapters-31-to-35.txt",332,30
"021_Adventures-of-Huckleberry-Finn,-Chapters-36-to-the-Last.txt",369,47
022_Adventures-of-Huckleberry-Finn.txt,2455,299
023_A-Horse's-Tale.txt,388,48
"024_Alonzo-Fitz,-and-Other-Stories.txt",602,73
025_A-Tramp-Abroad.txt,2355,515
026_A-Tramp-Abroad-—-Volume-01.txt,133,47
027_A-Tramp-Abroad-—-Volume-02.txt,246,45
028_A-Tramp-Abroad-—-Volume-03.txt,356,65
029_A-Tramp-Abroad-—-Volume-04.txt,491,58
030_A-Tramp-Abroad-—-Volume-05.txt,286,87
031_A-Tramp-Abroad-—-Volume-06.txt,301,82
032_A-Tramp-Abroad-—-Volume-07.txt,541,130
033_Chapters-from-My-Autobiography.txt,1379,306
034_Christian-Science.txt,1018,164
035_Editorial-Wild-Oats.txt,180,19
036_Essays-on-Paul-Bourget.txt,156,36
"037_Eve's-Diary,-Complete.txt",88,26
"038_Eve's-Diary,-Part-1.txt",27,10
"039_Eve's-Diary,-Part-2.txt",33,5
"040_Eve's-Diary,-Part-3.txt",39,11
041_Extract-from-Captain-Stormfield's-Visit-to-Heaven.txt,339,37
"042_Extracts-from-Adam's-Diary,-translated-from-the-original-ms..txt",71,10
043_Fenimore-Cooper's-Literary-Offences.txt,76,13
