Book,Total Paragraphs,Paragraphs (100-250 words)
001_A-Fairy-Tale-in-Two-Acts-Taken-from-Shakespeare.txt,237,3
002_Alls-Well-That-Ends-Well.txt,160,21
003_A-Lovers-Complaint.txt,49,0
004_A-Midsummer-Nights-Dream.txt,131,14
005_Antony-and-Cleopatra.txt,282,37
006_Arden-of-Feversham.txt,1146,29
007_As-You-Like-It.txt,736,44
008_Beautiful-Stories-from-Shakespeare.txt,1621,52
009_Coriolanus.txt,241,29
010_Cymbeline.txt,201,27
011_Hamlet-Prince-of-Denmark.txt,1794,25
012_Hamlet.txt,244,30
013_Henry-IV-Part-1.txt,745,38
014_Henry-VIII.txt,689,47
015_Henry-VI-Part-1.txt,732,31
016_Henry-VI-Part-2.txt,799,40
017_Henry-VI-Part-3.txt,825,29
018_Henry-V.txt,730,37
019_History-of-King-Henry-the-Sixth-Second-Part.txt,1013,37
020_Julius-Caesar.txt,1015,35
021_King-Henry-IV-Part-1.txt,172,27
022_King-Henry-IV-Part-2.txt,199,22
023_King-Henry-IV-Second-Part.txt,1104,38
024_King-Henry-IV-the-First-Part.txt,981,41
025_King-Henry-the-Eighth.txt,170,17
026_King-Henry-the-FifthArranged-for-Representation-at-the-Princesss-Theatre.txt,974,63
027_King-Henry-VI-First-Part.txt,903,28
028_King-Henry-VIII.txt,168,17
029_King-Henry-V.txt,192,20
030_King-John.txt,694,38
031_King-Lear.txt,221,31
032_King-Richard-III.txt,255,39
033_King-Richard-II.txt,141,18
034_King-Richard-the-Second.txt,141,18
035_Loves-Labours-Lost.txt,1175,33
036_Macbeth.txt,187,33
037_Measure-for-MeasureThe-Works-of-William-Shakespeare-[Cambridge-Edition]-[9-vols].txt,1161,35
038_Measure-for-Measure.txt,150,22
039_Much-Ado-about-Nothing.txt,835,24
040_New-Readings-of-Old-Authors-Shakspeare-King-Henry-5th.txt,92,0
041_Othello-the-Moor-of-Venice.txt,1424,39
042_Othello.txt,167,25
043_Pericles-Prince-of-Tyre.txt,837,21
044_Richard-III.txt,1054,39
045_Richard-II.txt,546,42
046_Romeo-and-Juliet.txt,205,27
047_Second-Part-of-King-Henry-IV.txt,199,22
048_Shakespeares-Comedy-of-The-Tempest.txt,808,20
"049_Shakespeares-play-of-the-Merchant-of-VeniceArranged-for-Representation-at-the-Princesss-Theatre-with-Historical-and-Explanatory-Notes-by-Charles-Kean-FSA.txt",921,36
050_Shakespeares-Sonnets.txt,310,151
051_Shakespeares-Tragedy-of-Romeo-and-Juliet.txt,2952,106
052_Shakspeares-Mental-Photographs.txt,252,0
053_Sonnets-on-Sundry-Notes-of-Music.txt,29,2
054_The-Comedy-of-ErrorsThe-Works-of-William-Shakespeare-[Cambridge-Edition]-[9-vols].txt,755,22
055_The-Comedy-of-Errors.txt,707,17
056_The-Complete-Works-of-William-Shakespeare.txt,24265,1130
057_The-First-Part-of-Henry-the-Sixth.txt,225,33
058_The-First-Part-of-King-Henry-the-Fourth.txt,172,27
059_The-History-of-King-Henry-the-Sixth-Third-Part.txt,1054,33
060_The-History-of-Troilus-and-Cressida.txt,224,21
061_The-Life-of-Henry-the-Eighth.txt,872,45
062_The-Life-of-King-Henry-the-Fifth.txt,192,20
063_The-Life-of-King-Henry-V.txt,930,38
064_The-Life-of-Timon-of-Athens.txt,163,21
065_The-Merchant-of-Venice.txt,135,14
066_The-Merry-Wives-of-WindsorThe-Works-of-William-Shakespeare-[Cambridge-Edition]-[9-vols].txt,1964,39
067_The-Merry-Wives-of-Windsor.txt,864,23
069_The-Passionate-Pilgrim.txt,38,9
070_The-Phoenix-and-the-Turtle.txt,21,0
071_The-Rape-of-Lucrece.txt,275,0
072_The-Second-Part-of-King-Henry-the-Sixth.txt,203,27
073_The-Shakespeare-Story-Book.txt,2763,211
074_The-Sonnets.txt,158,151
075_The-Taming-of-the-Shrew.txt,165,21
076_The-TempestThe-Works-of-William-Shakespeare-[Cambridge-Edition]-[9-vols].txt,825,27
077_The-Tempest.txt,120,16
078_The-Third-Part-of-King-Henry-the-Sixth.txt,188,23
079_The-Tragedie-of-Hamlet-Prince-of-DenmarkA-Study-with-the-Text-of-the-Folio-of-1623.txt,3363,136
080_The-Tragedy-of-Antony-and-Cleopatra.txt,282,37
081_The-Tragedy-of-Coriolanus.txt,242,30
082_The-Tragedy-of-Hamlet-Prince-of-Denmark.txt,244,30
083_The-Tragedy-of-Julius-Caesar.txt,142,21
084_The-Tragedy-of-King-Lear.txt,221,31
085_The-Tragedy-of-King-Richard-III.txt,1360,36
086_The-Tragedy-of-King-Richard-the-Second.txt,725,43
087_The-Tragedy-of-Macbeth.txt,187,33
088_The-Tragedy-of-Othello-Moor-of-Venice.txt,167,26
089_The-Tragedy-of-Romeo-and-Juliet.txt,979,30
090_The-Tragedy-of-Titus-Andronicus.txt,761,40
"091_The-Tragicall-Historie-of-Hamlet-Prince-of-DenmarkeThe-First.txt",35,6
092_The-Two-Gentlemen-of-Verona.txt,1005,23
093_The-Winters-Tale.txt,647,57
"094_The-Works-of-William-Shakespeare-[Cambridge-Edition]-[Vol-1-of-9]Introduction-and-Publishers-Advertising.txt",462,36
100_Timon-of-Athens.txt,727,33
101_Titus-Andronicus.txt,141,13
102_Troilus-and-Cressida.txt,222,20
103_Twelfth-Night-or-What-You-Will.txt,1081,16
104_Twelfth-Night.txt,815,21
105_Two-Gentlemen-of-VeronaThe-Works-of-William-Shakespeare-[Cambridge-Edition]-[9-vols].txt,999,33
106_Two-Gentlemen-of-Verona.txt,128,9
107_Venus-and-Adonis.txt,210,1
