book_filename,book_number,book_name,paragraph_number,original_paragraph_index,word_count,output_filename
008_Beautiful-Stories-from-Shakespeare.txt,008,Beautiful-Stories-from-Shakespeare,1,22,129,008_Beautiful-Stories-from-Shakespeare_01.txt
008_Beautiful-Stories-from-Shakespeare.txt,008,Beautiful-Stories-from-Shakespeare,2,30,136,008_Beautiful-Stories-from-Shakespeare_02.txt
008_Beautiful-Stories-from-Shakespeare.txt,008,Beautiful-Stories-from-Shakespeare,3,36,130,008_Beautiful-Stories-from-Shakespeare_03.txt
008_Beautiful-Stories-from-Shakespeare.txt,008,Beautiful-Stories-from-Shakespeare,4,48,159,008_Beautiful-Stories-from-Shakespeare_04.txt
008_Beautiful-Stories-from-Shakespeare.txt,008,Beautiful-Stories-from-Shakespeare,5,83,144,008_Beautiful-Stories-from-Shakespeare_05.txt
008_Beautiful-Stories-from-Shakespeare.txt,008,Beautiful-Stories-from-Shakespeare,6,106,123,008_Beautiful-Stories-from-Shakespeare_06.txt
008_Beautiful-Stories-from-Shakespeare.txt,008,Beautiful-Stories-from-Shakespeare,7,114,125,008_Beautiful-Stories-from-Shakespeare_07.txt
008_Beautiful-Stories-from-Shakespeare.txt,008,Beautiful-Stories-from-Shakespeare,8,125,129,008_Beautiful-Stories-from-Shakespeare_08.txt
008_Beautiful-Stories-from-Shakespeare.txt,008,Beautiful-Stories-from-Shakespeare,9,159,107,008_Beautiful-Stories-from-Shakespeare_09.txt
008_Beautiful-Stories-from-Shakespeare.txt,008,Beautiful-Stories-from-Shakespeare,10,408,116,008_Beautiful-Stories-from-Shakespeare_10.txt
008_Beautiful-Stories-from-Shakespeare.txt,008,Beautiful-Stories-from-Shakespeare,11,473,147,008_Beautiful-Stories-from-Shakespeare_11.txt
008_Beautiful-Stories-from-Shakespeare.txt,008,Beautiful-Stories-from-Shakespeare,12,475,131,008_Beautiful-Stories-from-Shakespeare_12.txt
008_Beautiful-Stories-from-Shakespeare.txt,008,Beautiful-Stories-from-Shakespeare,13,496,121,008_Beautiful-Stories-from-Shakespeare_13.txt
008_Beautiful-Stories-from-Shakespeare.txt,008,Beautiful-Stories-from-Shakespeare,14,562,122,008_Beautiful-Stories-from-Shakespeare_14.txt
008_Beautiful-Stories-from-Shakespeare.txt,008,Beautiful-Stories-from-Shakespeare,15,711,119,008_Beautiful-Stories-from-Shakespeare_15.txt
008_Beautiful-Stories-from-Shakespeare.txt,008,Beautiful-Stories-from-Shakespeare,16,715,118,008_Beautiful-Stories-from-Shakespeare_16.txt
008_Beautiful-Stories-from-Shakespeare.txt,008,Beautiful-Stories-from-Shakespeare,17,858,152,008_Beautiful-Stories-from-Shakespeare_17.txt
008_Beautiful-Stories-from-Shakespeare.txt,008,Beautiful-Stories-from-Shakespeare,18,1061,120,008_Beautiful-Stories-from-Shakespeare_18.txt
008_Beautiful-Stories-from-Shakespeare.txt,008,Beautiful-Stories-from-Shakespeare,19,1196,104,008_Beautiful-Stories-from-Shakespeare_19.txt
008_Beautiful-Stories-from-Shakespeare.txt,008,Beautiful-Stories-from-Shakespeare,20,1460,136,008_Beautiful-Stories-from-Shakespeare_20.txt
009_Coriolanus.txt,009,Coriolanus,1,30,236,009_Coriolanus_01.txt
009_Coriolanus.txt,009,Coriolanus,2,32,175,009_Coriolanus_02.txt
009_Coriolanus.txt,009,Coriolanus,3,34,240,009_Coriolanus_03.txt
009_Coriolanus.txt,009,Coriolanus,4,38,123,009_Coriolanus_04.txt
009_Coriolanus.txt,009,Coriolanus,5,44,118,009_Coriolanus_05.txt
009_Coriolanus.txt,009,Coriolanus,6,57,210,009_Coriolanus_06.txt
009_Coriolanus.txt,009,Coriolanus,7,62,106,009_Coriolanus_07.txt
009_Coriolanus.txt,009,Coriolanus,8,65,114,009_Coriolanus_08.txt
009_Coriolanus.txt,009,Coriolanus,9,78,244,009_Coriolanus_09.txt
009_Coriolanus.txt,009,Coriolanus,10,107,199,009_Coriolanus_10.txt
009_Coriolanus.txt,009,Coriolanus,11,109,181,009_Coriolanus_11.txt
009_Coriolanus.txt,009,Coriolanus,12,115,138,009_Coriolanus_12.txt
009_Coriolanus.txt,009,Coriolanus,13,120,169,009_Coriolanus_13.txt
009_Coriolanus.txt,009,Coriolanus,14,131,104,009_Coriolanus_14.txt
009_Coriolanus.txt,009,Coriolanus,15,133,100,009_Coriolanus_15.txt
009_Coriolanus.txt,009,Coriolanus,16,162,175,009_Coriolanus_16.txt
009_Coriolanus.txt,009,Coriolanus,17,176,220,009_Coriolanus_17.txt
009_Coriolanus.txt,009,Coriolanus,18,193,159,009_Coriolanus_18.txt
009_Coriolanus.txt,009,Coriolanus,19,195,132,009_Coriolanus_19.txt
009_Coriolanus.txt,009,Coriolanus,20,216,181,009_Coriolanus_20.txt
011_Hamlet-Prince-of-Denmark.txt,011,Hamlet-Prince-of-Denmark,1,37,102,011_Hamlet-Prince-of-Denmark_01.txt
011_Hamlet-Prince-of-Denmark.txt,011,Hamlet-Prince-of-Denmark,2,103,109,011_Hamlet-Prince-of-Denmark_02.txt
011_Hamlet-Prince-of-Denmark.txt,011,Hamlet-Prince-of-Denmark,3,108,119,011_Hamlet-Prince-of-Denmark_03.txt
011_Hamlet-Prince-of-Denmark.txt,011,Hamlet-Prince-of-Denmark,4,121,106,011_Hamlet-Prince-of-Denmark_04.txt
011_Hamlet-Prince-of-Denmark.txt,011,Hamlet-Prince-of-Denmark,5,126,209,011_Hamlet-Prince-of-Denmark_05.txt
011_Hamlet-Prince-of-Denmark.txt,011,Hamlet-Prince-of-Denmark,6,154,120,011_Hamlet-Prince-of-Denmark_06.txt
011_Hamlet-Prince-of-Denmark.txt,011,Hamlet-Prince-of-Denmark,7,198,102,011_Hamlet-Prince-of-Denmark_07.txt
011_Hamlet-Prince-of-Denmark.txt,011,Hamlet-Prince-of-Denmark,8,204,189,011_Hamlet-Prince-of-Denmark_08.txt
011_Hamlet-Prince-of-Denmark.txt,011,Hamlet-Prince-of-Denmark,9,241,147,011_Hamlet-Prince-of-Denmark_09.txt
011_Hamlet-Prince-of-Denmark.txt,011,Hamlet-Prince-of-Denmark,10,275,123,011_Hamlet-Prince-of-Denmark_10.txt
