generation,individual_id,fitness,p_human,p_ai,p_mimicry,log_p_human,semantic_similarity,perplexity,semantic_penalty,perplexity_penalty,predicted_class,is_best
0,1,-14.04408646,0.00000080,0.99998486,0.00001433,-14.04408646,1.0000,1.0000,0.00000000,0.00000000,2,0
0,2,-14.33395672,0.00000078,0.99992144,0.00007770,-14.06084156,0.7134,1.0001,0.27311516,0.00000000,2,0
0,3,-14.55582428,0.00000057,0.99997473,0.00002464,-14.38003922,0.7621,1.0000,0.17578518,0.00000000,2,0
0,4,-14.64938927,0.00000045,0.99998438,0.00001517,-14.61216831,0.8314,1.0000,0.03722119,0.00000000,2,0
0,5,-14.69117737,0.00000049,0.99999046,0.00000912,-14.53272724,0.7708,1.0000,0.15845048,0.00000000,2,0
0,6,-14.45654774,0.00000066,0.99996686,0.00003246,-14.23364449,0.7385,1.0000,0.22290349,0.00000000,2,0
0,7,-14.41151142,0.00000062,0.99992347,0.00007590,-14.29016113,0.7893,1.0001,0.12135053,0.00000000,2,0
0,8,-14.81245232,0.00000042,0.99999189,0.00000763,-14.67807198,0.7828,1.0000,0.13438010,0.00000000,2,0
0,9,-13.66109467,0.00000127,0.99978775,0.00021101,-13.57718849,0.8080,1.0002,0.08390617,0.00000000,2,1
0,10,-14.54761314,0.00000056,0.99997008,0.00002928,-14.39540768,0.7739,1.0000,0.15220499,0.00000000,2,0
1,1,-13.66109467,0.00000127,0.99978775,0.00021101,-13.57718849,0.8080,1.0002,0.08390617,0.00000000,2,0
1,2,-14.48239899,0.00000052,0.99993432,0.00006516,-14.46677399,0.8422,1.0001,0.01562476,0.00000000,2,0
1,3,-13.01559925,0.00000299,0.99977845,0.00021856,-12.72035503,0.7024,1.0002,0.29524446,0.00000000,2,0
1,4,-12.05886269,0.00000732,0.99994326,0.00004947,-11.82503223,0.7331,1.0001,0.23383045,0.00000000,2,1
1,5,-14.41325283,0.00000058,0.99997997,0.00001940,-14.35520077,0.8210,1.0000,0.05805206,0.00000000,2,0
1,6,-14.05465412,0.00000108,0.99965525,0.00034369,-13.73533249,0.6903,1.0003,0.31932151,0.00000000,2,0
1,7,-14.55802155,0.00000048,0.99995339,0.00004607,-14.55650616,0.8492,1.0000,0.00151515,0.00000000,2,0
1,8,-14.15485191,0.00000076,0.99994016,0.00005909,-14.09258461,0.8189,1.0001,0.06226707,0.00000000,2,0
1,9,-14.04487133,0.00000103,0.99964929,0.00034962,-13.78276825,0.7189,1.0004,0.26210332,0.00000000,2,0
1,10,-14.14436817,0.00000072,0.99998450,0.00001481,-14.14436817,0.9043,1.0000,0.00000000,0.00000000,2,0
2,1,-10.44629669,0.00003784,0.99993765,0.00002452,-10.18210983,0.7179,1.0001,0.26418650,0.00000000,2,1
2,2,-13.80529881,0.00000124,0.99980515,0.00019364,-13.59910774,0.7469,1.0002,0.20619094,0.00000000,2,0
2,3,-14.02583504,0.00000104,0.99991333,0.00008554,-13.77163887,0.7229,1.0001,0.25419652,0.00000000,2,0
2,4,-13.96559429,0.00000097,0.99984956,0.00014952,-13.84484100,0.7896,1.0002,0.12075305,0.00000000,2,0
2,5,-11.85339737,0.00000932,0.99988210,0.00010862,-11.58312798,0.7149,1.0001,0.27026987,0.00000000,2,0
2,6,-13.51147461,0.00000164,0.99933076,0.00066766,-13.32147789,0.7550,1.0007,0.18999648,0.00000000,2,0
2,7,-12.85172653,0.00000295,0.99922681,0.00077015,-12.73488617,0.7916,1.0008,0.11684084,0.00000000,2,0
2,8,-13.75514889,0.00000125,0.99978262,0.00021607,-13.59030724,0.7676,1.0002,0.16484177,0.00000000,2,0
2,9,-14.16491127,0.00000084,0.99995005,0.00004906,-13.99498463,0.7650,1.0000,0.16992664,0.00000000,2,0
2,10,-13.90607548,0.00000100,0.99989355,0.00010552,-13.81905174,0.8065,1.0001,0.08702350,0.00000000,2,0
3,1,-10.44629669,0.00003784,0.99993765,0.00002452,-10.18210983,0.7179,1.0001,0.26418650,0.00000000,2,0
3,2,-13.85491848,0.00000111,0.99985802,0.00014088,-13.70693684,0.7760,1.0001,0.14798141,0.00000000,2,0
3,3,-12.34195328,0.00000538,0.99922013,0.00077446,-12.13267708,0.7454,1.0008,0.20927644,0.00000000,2,0
3,4,-14.16938019,0.00000082,0.99994898,0.00005020,-14.01468658,0.7727,1.0001,0.15469360,0.00000000,2,0
3,5,-14.35803032,0.00000067,0.99996889,0.00003045,-14.21048450,0.7762,1.0000,0.14754558,0.00000000,2,0
3,6,-14.10048866,0.00000099,0.99972779,0.00027127,-13.82302284,0.7113,1.0003,0.27746618,0.00000000,2,0
3,7,-13.78624916,0.00000126,0.99995744,0.00004120,-13.58657742,0.7502,1.0000,0.19967163,0.00000000,2,0
3,8,-14.35137081,0.00000070,0.99993277,0.00006646,-14.17460060,0.7616,1.0001,0.17676985,0.00000000,2,0
3,9,-10.30435371,0.00004673,0.99990380,0.00004944,-9.97106361,0.6834,1.0001,0.33329058,0.00000000,2,1
3,10,-13.91458130,0.00000112,0.99972314,0.00027583,-13.70511246,0.7453,1.0003,0.20946920,0.00000000,2,0
4,1,-7.45221519,0.00078548,0.99910587,0.00010864,-7.14921141,0.6985,1.0009,0.30300379,0.00000000,2,0
4,2,-14.04966545,0.00000096,0.99992990,0.00006916,-13.85809422,0.7542,1.0001,0.19157100,0.00000000,2,0
4,3,-13.07160091,0.00000250,0.99956876,0.00042869,-12.89947128,0.7639,1.0004,0.17212951,0.00000000,2,0
4,4,-13.98190498,0.00000102,0.99998379,0.00001520,-13.79309082,0.7556,1.0000,0.18881440,0.00000000,2,0
4,5,-13.38038635,0.00000188,0.99974698,0.00025108,-13.18209648,0.7509,1.0003,0.19828999,0.00000000,2,0
4,6,-9.66602993,0.00007948,0.99987364,0.00004681,-9.43994617,0.7370,1.0001,0.22608352,0.00000000,2,0
4,7,-13.25782585,0.00000206,0.99964905,0.00034896,-13.09386539,0.7680,1.0004,0.16395998,0.00000000,2,0
4,8,-13.52662754,0.00000151,0.99997044,0.00002801,-13.40438461,0.7889,1.0000,0.12224317,0.00000000,2,0
4,9,-5.91807604,0.00356196,0.99612808,0.00030990,-5.63744450,0.7097,1.0039,0.28063154,0.00000000,2,1
4,10,-13.76028919,0.00000129,0.99989080,0.00010785,-13.56303883,0.7514,1.0001,0.19725037,0.00000000,2,0
5,1,-5.00704145,0.00896324,0.99078512,0.00025170,-4.71462345,0.7038,1.0093,0.29241800,0.00000000,2,0
5,2,-9.25422668,0.00012609,0.99975652,0.00011743,-8.97848797,0.7121,1.0002,0.27573919,0.00000000,2,0
5,3,-9.08809376,0.00013362,0.99964464,0.00022172,-8.92050552,0.7662,1.0004,0.16758788,0.00000000,2,0
5,4,-10.07040787,0.00005364,0.99989736,0.00004894,-9.83321190,0.7314,1.0001,0.23719621,0.00000000,2,0
5,5,-9.63406086,0.00007985,0.99987745,0.00004271,-9.43531513,0.7506,1.0001,0.19874597,0.00000000,2,0
5,6,-8.76535511,0.00020976,0.99975735,0.00003291,-8.46956062,0.7021,1.0002,0.29579449,0.00000000,2,0
5,7,-4.40931702,0.01586741,0.98395890,0.00017366,-4.14348793,0.7171,1.0163,0.26582909,0.00000000,2,1
5,8,-4.48032761,0.01680782,0.98306674,0.00012537,-4.08591127,0.6528,1.0172,0.39441657,0.00000000,2,0
5,9,-11.33030224,0.00001582,0.99994314,0.00004096,-11.05403805,0.7119,1.0001,0.27626395,0.00000000,2,0
5,10,-10.22385597,0.00004248,0.99988890,0.00006861,-10.06648922,0.7713,1.0001,0.15736663,0.00000000,2,0
6,1,-4.40931702,0.01586741,0.98395890,0.00017366,-4.14348793,0.7171,1.0163,0.26582909,0.00000000,2,0
6,2,-5.66701031,0.00472605,0.99507552,0.00019844,-5.35466528,0.6938,1.0049,0.31234503,0.00000000,2,0
