generation,individual_id,fitness,p_human,p_ai,p_mimicry,log_p_human,semantic_similarity,perplexity,semantic_penalty,perplexity_penalty,predicted_class,is_best
0,1,-14.04408646,0.00000080,0.99998486,0.00001433,-14.04408646,1.0000,1.0000,0.00000000,0.00000000,2,0
0,2,-13.27129936,0.00000172,0.99998558,0.00001271,-13.27129936,0.9336,1.0000,0.00000000,0.00000000,2,0
0,3,-13.66024399,0.00000117,0.99998164,0.00001720,-13.66024399,0.9176,1.0000,0.00000000,0.00000000,2,0
0,4,-14.51544762,0.00000050,0.99999571,0.00000376,-14.51544762,0.9486,1.0000,0.00000000,0.00000000,2,0
0,5,-13.88479233,0.00000093,0.99999356,0.00000552,-13.88479233,0.9392,1.0000,0.00000000,0.00000000,2,0
0,6,-14.04408646,0.00000080,0.99998486,0.00001433,-14.04408646,1.0000,1.0000,0.00000000,0.00000000,2,0
0,7,-13.97469616,0.00000085,0.99999237,0.00000674,-13.97469616,0.9368,1.0000,0.00000000,0.00000000,2,0
0,8,-13.84334373,0.00000097,0.99999058,0.00000846,-13.84334373,0.8859,1.0000,0.00000000,0.00000000,2,0
0,9,-14.19365597,0.00000069,0.99999452,0.00000482,-14.19365597,0.9432,1.0000,0.00000000,0.00000000,2,0
0,10,-13.07429123,0.00000210,0.99999011,0.00000775,-13.07429123,0.9714,1.0000,0.00000000,0.00000000,2,1
1,1,-13.07429123,0.00000210,0.99999011,0.00000775,-13.07429123,0.9714,1.0000,0.00000000,0.00000000,2,0
1,2,-13.92934704,0.00000089,0.99999106,0.00000811,-13.92934704,0.9402,1.0000,0.00000000,0.00000000,2,0
1,3,-14.12473392,0.00000073,0.99999082,0.00000841,-14.12473392,0.9415,1.0000,0.00000000,0.00000000,2,0
1,4,-13.63858986,0.00000119,0.99997699,0.00002176,-13.63858986,0.9393,1.0000,0.00000000,0.00000000,2,0
1,5,-13.61419773,0.00000122,0.99998260,0.00001618,-13.61419773,0.9306,1.0000,0.00000000,0.00000000,2,0
1,6,-8.97389793,0.00012667,0.99984181,0.00003149,-8.97389793,0.8605,1.0002,0.00000000,0.00000000,2,1
1,7,-11.86103058,0.00000706,0.99995887,0.00003412,-11.86103058,0.9235,1.0000,0.00000000,0.00000000,2,0
1,8,-13.78666401,0.00000103,0.99998951,0.00000946,-13.78666401,0.9758,1.0000,0.00000000,0.00000000,2,0
1,9,-13.34431648,0.00000160,0.99997938,0.00001911,-13.34431648,0.9322,1.0000,0.00000000,0.00000000,2,0
1,10,-10.74163532,0.00002163,0.99995053,0.00002783,-10.74163532,0.8555,1.0000,0.00000000,0.00000000,2,0
2,1,-6.74655819,0.00140138,0.99857020,0.00002842,-6.57030106,0.7619,1.0014,0.17625713,0.00000000,2,0
2,2,-11.72494984,0.00000809,0.99998486,0.00000699,-11.72494984,0.8941,1.0000,0.00000000,0.00000000,2,0
2,3,-12.59246063,0.00000340,0.99997604,0.00002048,-12.59246063,0.9039,1.0000,0.00000000,0.00000000,2,0
2,4,-12.30317497,0.00000454,0.99993801,0.00005748,-12.30317497,0.8986,1.0001,0.00000000,0.00000000,2,0
2,5,-9.72211266,0.00005994,0.99991488,0.00002516,-9.72211266,0.8557,1.0001,0.00000000,0.00000000,2,0
2,6,-12.56932163,0.00000348,0.99999368,0.00000292,-12.56932163,0.8634,1.0000,0.00000000,0.00000000,2,0
2,7,-12.77648258,0.00000283,0.99996579,0.00003134,-12.77648258,0.9094,1.0000,0.00000000,0.00000000,2,0
2,8,-13.00171375,0.00000226,0.99997604,0.00002169,-13.00171375,0.9073,1.0000,0.00000000,0.00000000,2,0
2,9,-6.58910942,0.00154958,0.99839491,0.00005551,-6.46977234,0.7903,1.0016,0.11933732,0.00000000,2,0
2,10,-6.43854904,0.00165250,0.99828404,0.00006342,-6.40546417,0.8335,1.0017,0.03308487,0.00000000,2,1
3,1,-4.53151226,0.02943760,0.97035426,0.00020812,-3.52548265,0.3470,1.0306,1.00602984,0.00000000,2,1
