generation,individual_id,fitness,p_human,p_ai,p_mimicry,semantic_similarity,predicted_class,is_best,is_selected
0,1,0.00000080,0.00000080,0.99998486,0.00001433,1.0000,2,0,0
0,2,0.00000136,0.00000136,0.99942219,0.00057654,0.7966,2,0,0
0,3,0.00000108,0.00000108,0.99958545,0.00041348,0.7941,2,0,0
0,4,0.00000059,0.00000059,0.99996114,0.00003821,0.8126,2,0,0
0,5,0.00000070,0.00000070,0.99992490,0.00007440,0.7332,2,0,0
0,6,0.00000068,0.00000068,0.99991882,0.00008047,0.7910,2,0,0
0,7,0.00000059,0.00000059,0.99995220,0.00004716,0.8596,2,0,0
0,8,0.00000497,0.00000497,0.99927896,0.00071606,0.8265,2,1,0
0,9,0.00000078,0.00000078,0.99989831,0.00010087,0.7675,2,0,0
0,10,0.00000059,0.00000059,0.99996805,0.00003136,0.8712,2,0,0
1,1,0.00000497,0.00000497,0.99927896,0.00071606,0.8265,2,0,0
1,2,0.00000136,0.00000136,0.99942219,0.00057654,0.7966,2,0,1
1,3,0.00000108,0.00000108,0.99958545,0.00041348,0.7941,2,0,1
1,4,0.00000189,0.00000189,0.99913055,0.00086759,0.7009,2,0,0
1,5,0.00001841,0.00001841,0.90646386,0.09351770,0.8019,2,1,0
1,6,0.00000118,0.00000118,0.99996078,0.00003807,0.8221,2,0,0
1,7,0.00000121,0.00000121,0.99976772,0.00023112,0.8078,2,0,0
1,8,0.00000531,0.00000531,0.99713743,0.00285721,0.8259,2,0,1
1,9,0.00000240,0.00000240,0.99976069,0.00023689,0.8282,2,0,0
1,10,0.00000143,0.00000143,0.99983275,0.00016574,0.8033,2,0,0
2,1,0.00001841,0.00001841,0.90646386,0.09351770,0.8019,2,0,1
2,2,0.00000531,0.00000531,0.99713743,0.00285721,0.8259,2,0,0
2,3,0.00000497,0.00000497,0.99927896,0.00071606,0.8265,2,0,0
2,4,0.00000200,0.00000200,0.99989903,0.00009889,0.8360,2,0,0
2,5,0.00001184,0.00001184,0.99489552,0.00509259,0.8212,2,0,1
2,6,0.00000112,0.00000112,0.99978870,0.00021025,0.8158,2,0,0
2,7,0.00001098,0.00001098,0.95247388,0.04751512,0.7752,2,0,0
2,8,0.00011328,0.00011328,0.40533730,0.59454942,0.8151,3,1,1
2,9,0.00000122,0.00000122,0.99993682,0.00006200,0.8303,2,0,0
2,10,0.00000476,0.00000476,0.99796271,0.00203253,0.8319,2,0,0
3,1,0.00011328,0.00011328,0.40533730,0.59454942,0.8151,3,0,1
3,2,0.00001841,0.00001841,0.90646386,0.09351770,0.8019,2,0,0
3,3,0.00001184,0.00001184,0.99489552,0.00509259,0.8212,2,0,0
3,4,0.00015052,0.00015052,0.05590253,0.94394690,0.8161,3,0,0
3,5,0.00000191,0.00000191,0.99962759,0.00037044,0.8139,2,0,1
3,6,0.00000231,0.00000231,0.99911040,0.00088727,0.7224,2,0,0
3,7,0.00023177,0.00023177,0.52849400,0.47127423,0.8174,2,1,0
3,8,0.00000131,0.00000131,0.99981242,0.00018630,0.7987,2,0,1
3,9,0.00006896,0.00006896,0.81826252,0.18166851,0.8169,2,0,0
3,10,0.00011062,0.00011062,0.24134670,0.75854266,0.8219,3,0,0
4,1,0.00023177,0.00023177,0.52849400,0.47127423,0.8174,2,1,1
4,2,0.00015052,0.00015052,0.05590253,0.94394690,0.8161,3,0,0
4,3,0.00011328,0.00011328,0.40533730,0.59454942,0.8151,3,0,0
4,4,0.00000252,0.00000252,0.99942589,0.00057169,0.8243,2,0,1
4,5,0.00002074,0.00002074,0.99127465,0.00870468,0.8236,2,0,0
4,6,0.00003508,0.00003508,0.00865604,0.99130881,0.7359,3,0,0
4,7,0.00000328,0.00000328,0.99874890,0.00124777,0.8081,2,0,1
4,8,0.00011815,0.00011815,0.08378858,0.91609323,0.8222,3,0,0
4,9,0.00001628,0.00001628,0.99751484,0.00246885,0.8280,2,0,0
4,10,0.00002846,0.00002846,0.97787696,0.02209464,0.8201,2,0,0
5,1,0.00023177,0.00023177,0.52849400,0.47127423,0.8174,2,0,1
5,2,0.00015052,0.00015052,0.05590253,0.94394690,0.8161,3,0,1
5,3,0.00011815,0.00011815,0.08378858,0.91609323,0.8222,3,0,0
5,4,0.00001361,0.00001361,0.99569196,0.00429439,0.8214,2,0,0
5,5,0.00000354,0.00000354,0.99901903,0.00097736,0.8452,2,0,0
5,6,0.00003973,0.00003973,0.00093814,0.99902213,0.8229,3,0,0
